keperluan,izin,kategori
pulang ke rumah.,IB,Bertemu Keluarga
izin pulang ke rumah.,IB,Bertemu Keluarga
ke rumah mengambil obat sekaligus bertemu orang tua.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
exit clearance,IB,Tamat Kuliah
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
urusan keluarga (acara untuk nenek).,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah orang tua.,IB,Bertemu Keluarga
"menemani adik, karena orang tua pergi acara adat.",IB,Bertemu Keluarga
mengikuti festival koor gereja.,IB,Lainnya
acara keluarga.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
menemani adik di rumah karena orang tua ke luar kota.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah. _x000d_,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur hari raya idhul fitri,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
daily meet penerima beasiswa iisma.,IB,Lainnya
"mengurus dokumen-dokumen untuk visa, seperti legalisir rapor, ijazah, dsb.",IB,Lainnya
mengurus dokumen keperluan beasiswa.,IB,Lainnya
izin bermalam di rumah.,IB,Bertemu Keluarga
acara prodi.,IB,Bertemu Keluarga
libur semester dan program beasiswa iisma.,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah mengikuti lomba paskah.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
izin pulang ke rumah.,IB,Bertemu Keluarga
ke rumah mengambil obat sekaligus bertemu orang tua.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
exit clearance,IB,Tamat Kuliah
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
urusan keluarga (acara untuk nenek).,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah orang tua.,IB,Bertemu Keluarga
"menemani adik, karena orang tua pergi acara adat.",IB,Bertemu Keluarga
mengikuti festival koor gereja.,IB,Lainnya
acara keluarga.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
menemani adik di rumah karena orang tua ke luar kota.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah. _x000d_,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur hari raya idhul fitri,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
daily meet penerima beasiswa iisma.,IB,Lainnya
"mengurus dokumen-dokumen untuk visa, seperti legalisir rapor, ijazah, dsb.",IB,Lainnya
mengurus dokumen keperluan beasiswa.,IB,Lainnya
izin bermalam di rumah.,IB,Bertemu Keluarga
acara prodi.,IB,Bertemu Keluarga
libur semester dan program beasiswa iisma.,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah mengikuti lomba paskah.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
izin pulang ke rumah.,IB,Bertemu Keluarga
ke rumah mengambil obat sekaligus bertemu orang tua.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
exit clearance,IB,Tamat Kuliah
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
urusan keluarga (acara untuk nenek).,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah orang tua.,IB,Bertemu Keluarga
"menemani adik, karena orang tua pergi acara adat.",IB,Bertemu Keluarga
mengikuti festival koor gereja.,IB,Lainnya
acara keluarga.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
libur akhir semester.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
menemani adik di rumah karena orang tua ke luar kota.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
izin bermalam di rumah. _x000d_,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur hari raya idhul fitri,IB,Bertemu Keluarga
izin bermalam di rumah.,IB,Bertemu Keluarga
daily meet penerima beasiswa iisma.,IB,Lainnya
"mengurus dokumen-dokumen untuk visa, seperti legalisir rapor, ijazah, dsb.",IB,Lainnya
mengurus dokumen keperluan beasiswa.,IB,Lainnya
izin bermalam di rumah.,IB,Bertemu Keluarga
acara prodi.,IB,Bertemu Keluarga
libur semester dan program beasiswa iisma.,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah mengikuti lomba paskah.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
izin pulang ke rumah.,IB,Bertemu Keluarga
ke rumah mengambil obat sekaligus bertemu orang tua.,IB,Bertemu Keluarga
pulang ke rumah.,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang.,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
exit clearance,IB,Tamat Kuliah
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
libur akhir semester,IB,Bertemu Keluarga
kembali ke rumah.,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
sakit (istirahat di rumah),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang kampung (libur semester),IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang (libur lebaran),IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bertemu dengan keluarga,IB,Bertemu Keluarga
refreshing setelah seminar:),IB,Lainnya
acara kelas,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah dikarenakan libur nasional (tanggal merah).,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah karena libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah (sakit),IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
memperbaiki laptop,IB,Membeli Barang
bermalam di rumah keluarga,IB,Bertemu Keluarga
pulang ke rumah (acara keluarga),IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang,IB,Bertemu Keluarga
pulang -> exit clearance,IB,Bertemu Keluarga
"libur akhir semester, natal dan tahun baru",IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
rapat kepanitiaan natal desa dan gereja,IB,Bertemu Keluarga
pijat urut tradisional punggung,IB,Lainnya
kepentingan keluarga,IB,Bertemu Keluarga
"libur semester, natal dan tahun baru",IB,Bertemu Keluarga
menjaga dan merawat oppung yang sedang sakit,IB,Pergi ke Klinik
menjaga oppung yang sakit,IB,Pergi ke Klinik
mengikuti acara pernikahan keluarga,IB,Bertemu Keluarga
berjumpa dengan keluarga,IB,Bertemu Keluarga
mengunjungi rumah keluarga,IB,Bertemu Keluarga
"rindu mamak, rindu bapak, rindu oppung, rindu soalnya lagi capek",IB,Lainnya
pulang ke rumah,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran hore,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
bertemu dengan keluarga besar yang sedang berkunjung ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
merayakan ulang tahun bapak,IB,Lainnya
bertemu dengan keluarga,IB,Bertemu Keluarga
libur semester dan mbkm,IB,Bertemu Keluarga
pulang kerumah,IB,Bertemu Keluarga
pulang kerumah,IB,Bertemu Keluarga
melakukan pemilihan umum,IB,Lainnya
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang kerumah untuk mengumpulkan energi,IB,Bertemu Keluarga
paskah,IB,Bertemu Keluarga
lebaran,IB,Bertemu Keluarga
pulang ke rumahm0,IB,Bertemu Keluarga
libur,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
merayakan ulang tahun bapak,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang kerumah,IB,Bertemu Keluarga
pulang kerumah,IB,Bertemu Keluarga
exit clearance,IB,Tamat Kuliah
"libur akhir semester, natal dan tahun baru",IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
rapat kepanitiaan natal desa dan gereja,IB,Bertemu Keluarga
pijat urut tradisional punggung,IB,Lainnya
kepentingan keluarga,IB,Bertemu Keluarga
"libur semester, natal dan tahun baru",IB,Bertemu Keluarga
menjaga dan merawat oppung yang sedang sakit,IB,Pergi ke Klinik
menjaga oppung yang sakit,IB,Pergi ke Klinik
